,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AvgMonthSpend,City_n,Education_n,Occupation_n,Gender_n,MaritalStatus_n,BikeBuyer
0,1,3,0,1,81916,50.97,0,0,0,0,0,1
1,1,2,1,2,81076,53.11,1,1,0,0,0,1
2,0,3,0,0,86387,54.08,2,0,0,1,1,1
3,1,2,1,2,61481,56.93,3,1,1,0,0,1
4,1,1,0,0,51804,55.41,4,1,1,0,1,1
5,1,2,2,2,61944,49.31,5,2,1,1,0,1
6,1,1,0,0,34919,56.01,6,1,2,0,1,0
7,0,1,0,0,61832,49.29,7,1,1,1,0,1
8,1,0,0,2,83834,50.05,8,1,0,1,0,1
9,0,1,0,0,26880,54.15,9,2,2,0,1,0
10,0,1,0,0,77258,54.02,6,1,0,1,1,0
11,1,3,0,0,102698,58.29,10,0,3,0,0,0
12,1,1,1,2,108198,52.66,11,0,3,1,0,1
13,1,2,0,2,133762,52.5,0,0,4,0,0,0
14,0,1,0,0,30526,49.61,12,3,2,0,1,0
15,1,2,0,2,56353,49.04,13,1,1,1,0,1
16,1,3,1,1,79019,50.48,14,2,0,1,1,1
17,0,2,0,0,55387,51.0,15,1,1,0,1,1
18,1,2,0,2,113276,58.69,16,0,3,0,0,0
19,1,1,0,1,109259,52.3,17,1,3,0,1,0
20,1,0,0,2,83845,50.38,18,2,0,1,0,0
21,1,0,2,2,59527,53.22,19,2,1,1,0,1
22,1,1,0,1,108360,51.88,20,0,3,0,1,0
23,0,1,0,0,87504,49.72,21,1,0,0,0,0
24,0,0,0,0,55461,48.76,22,0,1,1,0,1
25,1,2,0,0,137464,52.03,21,0,4,1,1,1
26,1,2,0,1,87676,49.89,23,2,0,0,0,1
27,1,3,0,2,104187,51.15,24,0,3,0,0,1
28,0,1,0,0,78222,53.53,25,0,0,0,1,1
29,1,2,0,1,77383,50.59,26,4,0,1,0,0
30,1,1,2,2,60700,49.29,27,2,1,1,0,1
31,0,0,0,0,30913,49.0,28,2,2,1,1,0
32,1,2,0,0,86952,54.71,2,1,0,1,1,1
33,1,2,1,2,58567,55.64,29,4,1,0,0,1
34,0,0,0,0,77478,50.55,30,1,0,0,0,0
35,1,2,0,1,78406,50.16,31,0,0,0,0,0
36,0,1,0,0,85318,51.02,32,1,0,0,1,0
37,0,0,0,0,52928,52.17,33,2,1,1,1,1
38,0,2,0,0,79224,52.31,34,0,0,1,1,1
39,0,0,0,1,33076,53.13,35,1,2,0,0,1
40,1,1,0,2,56641,48.89,36,2,1,1,0,0
41,1,0,0,1,27203,52.46,37,2,2,0,0,0
42,0,3,0,0,77098,50.21,38,2,0,1,1,0
43,1,3,2,2,103200,53.97,39,0,3,0,0,1
44,0,2,0,0,53784,50.85,40,0,1,1,1,0
45,0,1,0,0,25826,47.53,41,1,2,1,1,0
46,1,0,1,1,30925,50.48,10,2,2,0,0,1
47,1,1,1,2,30288,50.57,26,3,2,1,0,0
48,0,0,0,0,34685,48.1,42,0,2,0,1,1
49,0,1,1,1,58213,51.99,43,4,1,1,0,1
50,0,0,0,0,108342,51.43,19,1,3,0,1,1
51,1,2,1,1,130385,55.52,44,0,4,1,0,1
52,0,2,0,0,58227,50.76,39,1,1,1,1,1
53,0,1,0,0,52156,47.68,45,1,1,0,1,1
54,1,2,0,0,131458,57.1,46,4,4,0,1,1
55,0,1,0,0,33510,46.25,47,1,2,0,1,0
56,1,1,0,1,56785,51.34,48,2,1,1,1,0
57,0,1,0,0,58201,51.29,49,1,1,1,1,0
58,1,2,0,1,82359,49.64,50,0,0,1,0,1
59,1,2,1,2,55654,50.98,10,3,1,1,0,1
60,1,1,1,2,33167,58.85,51,2,2,0,0,0
61,1,3,0,1,107883,52.81,40,1,3,1,1,1
62,1,1,2,2,80056,53.16,52,2,0,1,0,1
63,0,2,0,0,54577,49.8,53,3,1,0,1,1
64,0,0,1,1,36070,59.05,54,0,2,0,0,1
65,1,2,1,2,54049,54.19,55,0,1,0,0,1
66,0,1,0,0,112726,55.8,0,1,3,0,1,0
67,1,1,0,2,29749,48.95,56,1,2,0,0,0
68,1,2,2,2,56820,55.26,21,0,1,0,0,1
69,1,3,0,0,102647,51.75,6,1,3,1,1,1
